time;axis;value;subject
1;x;41.31710784;average
2;x;41.34957622;average
3;x;41.49094559;average
4;x;53.92678631;average
5;x;49.45864157;average
6;x;74.62007564;average
7;x;53.03957666;average
8;x;68.1717986;average
9;x;53.91236475;average
10;x;65.41133488;average
11;x;48.94314545;average
12;x;61.75223573;average
13;x;57.03563081;average
14;x;57.46656611;average
15;x;74.86033305;average
16;x;61.76968426;average
17;x;108.2735081;average
18;x;92.30182594;average
19;x;110.6418639;average
20;x;59.8470835;average
21;x;67.48404054;average
22;x;126.242063;average
23;x;76.1740513;average
24;x;76.1740513;average
25;x;72.23344306;average
1;y;100.5037307;average
2;y;100.4235579;average
3;y;94.03653288;average
4;y;88.84905538;average
5;y;94.15161994;average
6;y;97.65484026;average
7;y;92.68704688;average
8;y;122.7416103;average
9;y;101.7738839;average
10;y;109.9048152;average
11;y;93.43598029;average
12;y;141.7844351;average
13;y;94.78743234;average
14;y;101.7210436;average
15;y;166.2745024;average
16;y;126.8474899;average
17;y;147.7949729;average
18;y;160.9931245;average
19;y;154.6886184;average
20;y;124.4152895;average
21;y;103.956117;average
22;y;177.5742204;average
23;y;115.5951306;average
24;y;154.8311126;average
25;y;128.4794894;average
