time;axis;value;subject
1;x;27.8791388;average
2;x;26.06062887;average
3;x;27.36015561;average
4;x;37.17055264;average
5;x;33.57597569;average
6;x;52.84923879;average
7;x;31.77486827;average
8;x;33.61432785;average
9;x;28.28908956;average
10;x;43.87013461;average
11;x;38.0064703;average
12;x;33.6192587;average
13;x;39.57527295;average
14;x;40.08592499;average
15;x;41.10325777;average
16;x;43.34264564;average
17;x;58.25635279;average
18;x;54.98422703;average
19;x;72.00875234;average
20;x;31.56872512;average
21;x;45.38802677;average
22;x;62.44190855;average
23;x;48.92364188;average
24;x;76.52018409;average
25;x;53.19163958;average
1;y;60.51157586;average
2;y;56.92956111;average
3;y;61.38529212;average
4;y;67.80355591;average
5;y;67.76415903;average
6;y;68.20462641;average
7;y;63.80020524;average
8;y;58.55757588;average
9;y;55.27956943;average
10;y;69.87634965;average
11;y;66.20860562;average
12;y;76.29395918;average
13;y;76.81017258;average
14;y;68.3662351;average
15;y;87.69478135;average
16;y;89.54422955;average
17;y;91.75532142;average
18;y;97.51827207;average
19;y;89.13327223;average
20;y;64.40301139;average
21;y;70.13672938;average
22;y;92.21908826;average
23;y;69.10487594;average
24;y;67.51475364;average
25;y;83.69786262;average
