time;axis;value;subject
1;x;29.3;average
2;x;21.86;average
3;x;30.54;average
4;x;34.27;average
5;x;39.65;average
6;x;45.05;average
7;x;31.7;average
8;x;33.77;average
9;x;39.24;average
10;x;38.11;average
11;x;37.61;average
12;x;53.75;average
13;x;38.81;average
14;x;46.47;average
15;x;57.84;average
16;x;36.24;average
17;x;42.2;average
18;x;38.05;average
19;x;49.4;average
20;x;44.19;average
21;x;33.71;average
22;x;49.49;average
23;x;36.27;average
24;x;40.52;average
25;x;45.69;average
1;y;55.89;average
2;y;48.82;average
3;y;59.12;average
4;y;77.52;average
5;y;72.84;average
6;y;63.31;average
7;y;80.39;average
8;y;68.77;average
9;y;74.0;average
10;y;80.41;average
11;y;66.84;average
12;y;75.41;average
13;y;93.39;average
14;y;69.33;average
15;y;111.54;average
16;y;83.67;average
17;y;85.43;average
18;y;82.24;average
19;y;88.17;average
20;y;110.79;average
21;y;78.29;average
22;y;95.55;average
23;y;86.08;average
24;y;106.96;average
25;y;87.82;average
