time;axis;value;subject
1;x;26.43;average
2;x;19.5;average
3;x;25.65;average
4;x;34.36;average
5;x;38.01;average
6;x;38.09;average
7;x;29.24;average
8;x;31.53;average
9;x;36.93;average
10;x;36.97;average
11;x;39.43;average
12;x;52.32;average
13;x;42.11;average
14;x;40.85;average
15;x;56.29;average
16;x;32.63;average
17;x;40.43;average
18;x;35.37;average
19;x;42.77;average
20;x;42.99;average
21;x;32.0;average
22;x;47.04;average
23;x;41.71;average
24;x;38.01;average
25;x;46.08;average
1;y;55.06;average
2;y;46.0;average
3;y;60.42;average
4;y;79.83;average
5;y;67.93;average
6;y;64.98;average
7;y;77.17;average
8;y;64.67;average
9;y;76.75;average
10;y;76.25;average
11;y;62.74;average
12;y;72.04;average
13;y;91.73;average
14;y;66.13;average
15;y;108.22;average
16;y;74.88;average
17;y;81.4;average
18;y;74.99;average
19;y;87.57;average
20;y;112.24;average
21;y;72.31;average
22;y;102.48;average
23;y;89.91;average
24;y;97.07;average
25;y;88.54;average
