subject;axis;time;value
bo23;x;1;31.88674314
bo23;x;2;30.40884072
bo23;x;3;29.42180974
bo23;x;4;68.52700044
bo23;x;5;69.69180729
bo23;x;6;108.1943087
bo23;x;7;78.98536109
bo23;x;8;62.04829197
bo23;x;9;82.23935276
bo23;x;10;105.5391615
bo23;x;11;107.8617431
bo23;x;12;85.27803002
bo23;x;13;110.5302327
bo23;x;14;102.6778364
bo23;x;15;85.21643397
bo23;x;16;131.0500387
bo23;x;17;120.8507059
bo23;x;18;120.9244518
bo23;x;19;138.912626
bo23;x;20;55.55262245
bo23;x;21;160.9458363
bo23;x;22;132.7851153
bo23;x;23;125.7060952
bo23;x;24;334.9302808
bo23;x;25;173.2262664
ea65;x;1;24.62859979
ea65;x;2;28.46219671
ea65;x;3;22.35859261
ea65;x;4;19.51714745
ea65;x;5;37.20178795
ea65;x;6;31.06368879
ea65;x;7;23.45813681
ea65;x;8;32.75925869
ea65;x;9;25.77550268
ea65;x;10;31.34173586
ea65;x;11;28.94534171
ea65;x;12;24.66458535
ea65;x;13;22.86004229
ea65;x;14;29.15725649
ea65;x;15;16.09571617
ea65;x;16;31.11387868
ea65;x;17;20.12370872
ea65;x;18;24.10865805
ea65;x;19;26.53008572
ea65;x;20;25.66328681
ea65;x;21;17.86714847
ea65;x;22;26.326254
ea65;x;23;37.6837035
ea65;x;24;18.9409858
ea65;x;25;21.92840194
ia67;x;1;47.10723488
ia67;x;2;15.53620528
ia67;x;3;42.04721083
ia67;x;4;41.12420439
ia67;x;5;14.34005667
ia67;x;6;104.3044414
ia67;x;7;10.01666448
ia67;x;8;48.09759111
ia67;x;9;12.37835016
ia67;x;10;30.16707823
ia67;x;11;8.758905725
ia67;x;12;20.34010703
ia67;x;13;19.38779723
ia67;x;14;22.14224699
ia67;x;15;22.08550487
ia67;x;16;13.0721959
ia67;x;17;55.41670024
ia67;x;18;20.44064882
ia67;x;19;138.4970898
ia67;x;20;11.55851839
ia67;x;21;16.18157399
ia67;x;22;92.71485958
ia67;x;23;7.093350623
ia67;x;24;31.48586745
ia67;x;25;51.65534628
jw13;x;1;65.0717139
jw13;x;2;49.158476
jw13;x;3;58.65492354
jw13;x;4;56.72305194
jw13;x;5;57.00984062
jw13;x;6;68.24146754
jw13;x;7;45.77155348
jw13;x;8;53.79956262
jw13;x;9;44.1484882
jw13;x;10;50.26345162
jw13;x;11;74.18661632
jw13;x;12;65.0017605
jw13;x;13;76.86881161
jw13;x;14;75.25229054
jw13;x;15;70.99272502
jw13;x;16;83.52411631
jw13;x;17;58.09902182
jw13;x;18;33.24265194
jw13;x;19;73.75612831
jw13;x;20;48.51305662
jw13;x;21;53.7377392
jw13;x;22;69.50958954
jw13;x;23;70.63652146
