time;aoi;value;subject
1;inner;129;average
2;inner;30;average
3;inner;39;average
4;inner;36;average
5;inner;46;average
6;inner;20;average
7;inner;140;average
8;inner;50;average
9;inner;91;average
10;inner;44;average
11;inner;83;average
12;inner;60;average
13;inner;88;average
14;inner;48;average
15;inner;50;average
16;inner;61;average
17;inner;102;average
18;inner;47;average
19;inner;50;average
20;inner;52;average
1;25px;249;average
2;25px;71;average
3;25px;88;average
4;25px;56;average
5;25px;93;average
6;25px;49;average
7;25px;242;average
8;25px;83;average
9;25px;124;average
10;25px;77;average
11;25px;137;average
12;25px;89;average
13;25px;126;average
14;25px;113;average
15;25px;92;average
16;25px;92;average
17;25px;196;average
18;25px;82;average
19;25px;96;average
20;25px;89;average
1;50px;318;average
2;50px;107;average
3;50px;125;average
4;50px;89;average
5;50px;115;average
6;50px;62;average
7;50px;303;average
8;50px;96;average
9;50px;152;average
10;50px;82;average
11;50px;157;average
12;50px;100;average
13;50px;140;average
14;50px;140;average
15;50px;116;average
16;50px;107;average
17;50px;249;average
18;50px;102;average
19;50px;108;average
20;50px;104;average
