time;aoi;value;subject
1;inner;21390.0;average
2;inner;6570.0;average
3;inner;7635.0;average
4;inner;6856.0;average
5;inner;8986.0;average
6;inner;3027.0;average
7;inner;24549.0;average
8;inner;9958.0;average
9;inner;15035.0;average
10;inner;6953.0;average
11;inner;18116.0;average
12;inner;7967.0;average
13;inner;18333.0;average
14;inner;8100.0;average
15;inner;9152.0;average
16;inner;10786.0;average
17;inner;13493.0;average
18;inner;7022.0;average
19;inner;9372.0;average
20;inner;8211.0;average
1;25px;43076.0;average
2;25px;16772.0;average
3;25px;16860.0;average
4;25px;10105.0;average
5;25px;15531.0;average
6;25px;8827.0;average
7;25px;41690.0;average
8;25px;14673.0;average
9;25px;21951.0;average
10;25px;14279.0;average
11;25px;26190.0;average
12;25px;13853.0;average
13;25px;23432.0;average
14;25px;18177.0;average
15;25px;16455.0;average
16;25px;16990.0;average
17;25px;26512.0;average
18;25px;12652.0;average
19;25px;15607.0;average
20;25px;14861.0;average
1;50px;51242.0;average
2;50px;24638.0;average
3;50px;22351.0;average
4;50px;15970.0;average
5;50px;19136.0;average
6;50px;10614.0;average
7;50px;52710.0;average
8;50px;16304.0;average
9;50px;26186.0;average
10;50px;14683.0;average
11;50px;28766.0;average
12;50px;15633.0;average
13;50px;25648.0;average
14;50px;20732.0;average
15;50px;20190.0;average
16;50px;18782.0;average
17;50px;33373.0;average
18;50px;15007.0;average
19;50px;17060.0;average
20;50px;17024.0;average
