time;aoi;value;subject
1;inner;109;average
2;inner;15;average
3;inner;40;average
4;inner;19;average
5;inner;24;average
6;inner;18;average
7;inner;109;average
8;inner;36;average
9;inner;60;average
10;inner;36;average
11;inner;69;average
12;inner;55;average
13;inner;75;average
14;inner;39;average
15;inner;43;average
16;inner;42;average
17;inner;93;average
18;inner;32;average
19;inner;44;average
20;inner;35;average
1;25px;209;average
2;25px;51;average
3;25px;88;average
4;25px;37;average
5;25px;65;average
6;25px;45;average
7;25px;197;average
8;25px;55;average
9;25px;77;average
10;25px;60;average
11;25px;112;average
12;25px;79;average
13;25px;108;average
14;25px;91;average
15;25px;72;average
16;25px;63;average
17;25px;182;average
18;25px;57;average
19;25px;94;average
20;25px;67;average
1;50px;240;average
2;50px;88;average
3;50px;124;average
4;50px;63;average
5;50px;84;average
6;50px;56;average
7;50px;259;average
8;50px;71;average
9;50px;108;average
10;50px;68;average
11;50px;123;average
12;50px;94;average
13;50px;127;average
14;50px;117;average
15;50px;88;average
16;50px;75;average
17;50px;230;average
18;50px;76;average
19;50px;108;average
20;50px;82;average
