time;axis;value;subject
1;x;28.54;average
2;x;22.87;average
3;x;32.04;average
4;x;34.73;average
5;x;39.16;average
6;x;42.76;average
7;x;31.4;average
8;x;33.29;average
9;x;39.44;average
10;x;37.32;average
11;x;36.38;average
12;x;49.9;average
13;x;38.54;average
14;x;45.61;average
15;x;55.23;average
16;x;33.71;average
17;x;41.24;average
18;x;35.52;average
19;x;47.04;average
20;x;42.82;average
21;x;32.97;average
22;x;48.05;average
23;x;36.12;average
24;x;38.54;average
25;x;43.26;average
1;y;50.22;average
2;y;46.4;average
3;y;53.3;average
4;y;69.44;average
5;y;67.17;average
6;y;56.93;average
7;y;73.66;average
8;y;62.73;average
9;y;66.61;average
10;y;73.06;average
11;y;61.7;average
12;y;68.49;average
13;y;87.25;average
14;y;65.01;average
15;y;100.22;average
16;y;75.45;average
17;y;79.2;average
18;y;75.13;average
19;y;80.04;average
20;y;99.5;average
21;y;74.22;average
22;y;88.06;average
23;y;78.05;average
24;y;95.89;average
25;y;79.14;average
