time;axis;value;subject
1;x;25.24;average
2;x;20.55;average
3;x;26.65;average
4;x;34.39;average
5;x;37.97;average
6;x;36.36;average
7;x;28.59;average
8;x;30.34;average
9;x;35.98;average
10;x;35.21;average
11;x;36.98;average
12;x;48.34;average
13;x;40.0;average
14;x;38.65;average
15;x;52.33;average
16;x;30.16;average
17;x;38.94;average
18;x;32.52;average
19;x;40.1;average
20;x;39.86;average
21;x;29.72;average
22;x;44.43;average
23;x;39.72;average
24;x;35.82;average
25;x;42.99;average
1;y;49.34;average
2;y;42.69;average
3;y;54.24;average
4;y;71.28;average
5;y;61.89;average
6;y;58.08;average
7;y;70.5;average
8;y;58.55;average
9;y;68.74;average
10;y;68.77;average
11;y;57.42;average
12;y;65.2;average
13;y;84.06;average
14;y;61.63;average
15;y;96.35;average
16;y;67.56;average
17;y;74.51;average
18;y;67.87;average
19;y;78.95;average
20;y;100.36;average
21;y;67.29;average
22;y;92.94;average
23;y;80.8;average
24;y;87.06;average
25;y;79.36;average
