time;axis;value;subject
1;x;11.74;bo23
1;x;32.62;ea65
1;x;16.89;ia67
1;x;38.65;ks01
1;x;20.8;mk55
1;x;50.63;qe90
1;x;13.68;qw51
1;x;16.93;zp65
2;x;14.34;bo23
2;x;20.97;ea65
2;x;13.48;ia67
2;x;38.65;ks01
2;x;27.69;mk55
2;x;47.07;qe90
2;x;12.95;qw51
2;x;27.91;zp65
3;x;10.54;bo23
3;x;13.37;ea65
3;x;36.77;ia67
3;x;7.62;ks01
3;x;34.52;mk55
3;x;64.21;qe90
3;x;12.52;qw51
3;x;33.63;zp65
4;x;18.87;bo23
4;x;26.71;ea65
4;x;48.76;ia67
4;x;29.5;ks01
4;x;23.91;mk55
4;x;80.11;qe90
4;x;12.69;qw51
4;x;34.57;zp65
5;x;30.5;bo23
5;x;59.46;ea65
5;x;12.43;ia67
5;x;36.4;ks01
5;x;35.4;mk55
5;x;76.56;qe90
5;x;15.35;qw51
5;x;37.68;zp65
6;x;39.02;bo23
6;x;49.2;ea65
6;x;31.96;ia67
6;x;22.42;ks01
6;x;40.31;mk55
6;x;63.47;qe90
6;x;20.25;qw51
6;x;24.24;zp65
7;x;26.86;bo23
7;x;49.22;ea65
7;x;16.86;ia67
7;x;5.09;ks01
7;x;36.45;mk55
7;x;52.26;qe90
7;x;17.94;qw51
7;x;24.01;zp65
8;x;20.48;bo23
8;x;50.32;ea65
8;x;29.71;ia67
8;x;10.44;ks01
8;x;14.41;mk55
8;x;63.77;qe90
8;x;31.58;qw51
8;x;22.01;zp65
9;x;28.53;bo23
9;x;61.3;ea65
9;x;36.72;ia67
9;x;42.09;ks01
9;x;15.22;mk55
9;x;53.44;qe90
9;x;21.18;qw51
9;x;29.37;zp65
10;x;63.11;bo23
10;x;59.89;ea65
10;x;25.34;ia67
10;x;12.6;ks01
10;x;23.28;mk55
10;x;57.64;qe90
10;x;16.95;qw51
10;x;22.87;zp65
11;x;61.79;bo23
11;x;53.96;ea65
11;x;10.94;ia67
11;x;62.02;ks01
11;x;20.28;mk55
11;x;56.48;qe90
11;x;10.58;qw51
11;x;19.81;zp65
12;x;63.58;bo23
12;x;72.89;ea65
12;x;15.88;ia67
12;x;109.54;ks01
12;x;34.62;mk55
12;x;60.47;qe90
12;x;9.27;qw51
12;x;20.51;zp65
13;x;103.57;bo23
13;x;26.27;ea65
13;x;9.6;ia67
13;x;13.31;ks01
13;x;18.44;mk55
13;x;78.29;qe90
13;x;45.31;qw51
13;x;25.2;zp65
14;x;66.32;bo23
14;x;51.98;ea65
14;x;15.48;ia67
14;x;63.3;ks01
14;x;18.17;mk55
14;x;56.3;qe90
14;x;14.43;qw51
14;x;23.18;zp65
15;x;80.4;bo23
15;x;26.43;ea65
15;x;10.85;ia67
15;x;61.2;ks01
15;x;146.59;mk55
15;x;42.81;qe90
15;x;25.72;qw51
15;x;24.65;zp65
16;x;77.67;bo23
16;x;22.83;ea65
16;x;19.46;ia67
16;x;24.04;ks01
16;x;21.76;mk55
16;x;55.34;qe90
16;x;7.33;qw51
16;x;12.87;zp65
17;x;67.19;bo23
17;x;22.61;ea65
17;x;59.97;ia67
17;x;39.95;ks01
17;x;21.74;mk55
17;x;59.55;qe90
17;x;12.03;qw51
17;x;28.49;zp65
18;x;63.98;bo23
18;x;21.34;ea65
18;x;37.65;ia67
18;x;39.95;ks01
18;x;18.19;mk55
18;x;98.43;qe90
18;x;7.99;qw51
18;x;12.59;zp65
19;x;36.34;bo23
19;x;30.58;ea65
19;x;50.36;ia67
19;x;96.8;ks01
19;x;20.95;mk55
19;x;51.39;qe90
19;x;12.96;qw51
19;x;21.4;zp65
20;x;42.7;bo23
20;x;46.98;ea65
20;x;38.89;ia67
20;x;80.1;ks01
20;x;11.89;mk55
20;x;63.75;qe90
20;x;16.64;qw51
20;x;17.89;zp65
21;x;34.4;bo23
21;x;35.44;ea65
21;x;25.5;ia67
21;x;54.75;ks01
21;x;15.58;mk55
21;x;49.04;qe90
21;x;9.27;qw51
21;x;13.82;zp65
22;x;70.81;bo23
22;x;36.62;ea65
22;x;58.91;ia67
22;x;65.2;ks01
22;x;12.35;mk55
22;x;69.35;qe90
22;x;16.02;qw51
22;x;26.17;zp65
23;x;64.58;bo23
23;x;28.76;ea65
23;x;23.22;ia67
23;x;65.2;ks01
23;x;84.63;mk55
23;x;58.54;qe90
23;x;32.26;qw51
23;x;25.73;zp65
24;x;64.58;bo23
24;x;36.77;ea65
24;x;30.77;ia67
24;x;65.1;ks01
24;x;19.82;mk55
24;x;77.02;qe90
24;x;36.61;qw51
24;x;20.45;zp65
25;x;88.01;bo23
25;x;77.91;ea65
25;x;30.38;ia67
25;x;65.1;ks01
25;x;15.65;mk55
25;x;74.23;qe90
25;x;36.39;qw51
25;x;21.31;zp65
26;x;88.01;bo23
26;x;77.91;ea65
26;x;30.38;ia67
26;x;50;ks01
26;x;15.65;mk55
26;x;74.23;qe90
26;x;36.39;qw51
26;x;21.31;zp65
1;y;23.92;bo23
1;y;65.37;ea65
1;y;51.59;ia67
1;y;33.57;ks01
1;y;52.75;mk55
1;y;34.99;qe90
1;y;123.27;qw51
1;y;9.28;zp65
